x,y
0.0158641,0.0075274
0.0503355,0.0491696
0.1070137,0.0277692
0.1205278,0.0066493
0.1706407,0.0257544
0.2135898,0.0064511
0.2605839,0.0289853
0.2808920,0.0225735
0.3415001,0.0162190
0.3571693,0.0248182
0.3970287,0.0377912
0.4396675,0.0206605
0.4956766,0.0200996
0.5205301,0.0284190
0.5488586,0.0143869
0.5801270,0.0391567
0.6258508,0.0190956
0.6672144,0.0286280
0.7132150,0.0120821
0.7633729,0.0295203
0.7661389,0.0294876
0.8489637,0.0130197
0.8772302,0.0296893
0.9139102,0.0055097
0.9424746,0.0306736
0.9633368,0.0153455
0.0263959,0.0550698
0.0709102,0.0541163
0.1107114,0.0590087
0.1282817,0.0701989
0.1670841,0.0806739
0.2181540,0.0482023
0.2489173,0.0836157
0.2872274,0.0525691
0.3457850,0.0552406
0.3655666,0.0460363
0.4166227,0.0634357
0.4405167,0.0511757
0.4735390,0.0479864
0.5052181,0.0604403
0.5468124,0.0960444
0.6104482,0.0470629
0.6526492,0.0548808
0.6758163,0.0491808
0.7005892,0.0344743
0.7483092,0.0662717
0.7883526,0.0368164
0.8343924,0.0606362
0.8641164,0.0464219
0.9023144,0.0518395
0.9210233,0.0765618
0.9837549,0.0444205
0.0145506,0.0902207
0.0586312,0.0856849
0.0744196,0.1067842
0.1302501,0.0921726
0.1633118,0.1032456
0.2036637,0.0966229
0.2510307,0.1077904
0.2657289,0.1091468
0.3283826,0.0861765
0.3620290,0.0866241
0.3909340,0.0949284
0.4272924,0.1156620
0.4788450,0.1195590
0.5166127,0.0996558
0.5418084,0.1023652
0.5888367,0.1163164
0.6467042,0.0943907
0.6691380,0.1018088
0.7267509,0.0888353
0.7539495,0.0902039
0.8152317,0.0826621
0.8047830,0.0888340
0.8765656,0.0776520
0.9010833,0.1114512
0.9603469,0.0883651
0.9878806,0.1170705
0.0222895,0.1355602
0.0607113,0.1364033
0.0995955,0.1421735
0.1556983,0.1203037
0.1629015,0.1348985
0.2137906,0.1321647
0.2284630,0.1367063
0.2862037,0.1370374
0.3146159,0.1408395
0.3812778,0.1546926
0.3970972,0.1424813
0.4310515,0.1502566
0.4902709,0.1484259
0.5215253,0.1468601
0.5552247,0.1343878
0.5860587,0.1419081
0.6075180,0.1492442
0.6547925,0.1337152
0.7367647,0.0988818
0.7409059,0.1230741
0.7816574,0.1308385
0.8313870,0.1384737
0.8698196,0.1213009
0.9053096,0.1555863
0.9537090,0.1355291
0.9689636,0.1571457
0.0090686,0.1622323
0.0355443,0.1760013
0.0790770,0.1695295
0.1518595,0.1672133
0.1733567,0.1698510
0.2136058,0.1771779
0.2432883,0.1803237
0.2990996,0.1520833
0.3584963,0.1745020
0.3567781,0.1798988
0.4091215,0.1818739
0.4441326,0.1726492
0.4793254,0.1529393
0.5314740,0.1769242
0.5669495,0.1857133
0.5974678,0.1733899
0.6215632,0.1781906
0.6751219,0.1783876
0.7088074,0.1674560
0.7415923,0.1708420
0.7847423,0.1709916
0.8230977,0.1886770
0.8604621,0.1836403
0.9077270,0.1757719
0.9367117,0.1670599
0.9965948,0.1675158
0.0353136,0.2292993
0.0565433,0.2195173
0.1063203,0.2151639
0.1338905,0.2200266
0.1744993,0.2101074
0.2149039,0.2217645
0.2315220,0.2089685
0.2756060,0.2309044
0.3071676,0.2083383
0.3399818,0.2230279
0.4059365,0.2092933
0.4554489,0.2215174
0.4712030,0.2124095
0.5130064,0.2022565
0.5456187,0.1971496
0.6161133,0.2251043
0.6266461,0.1921741
0.6747619,0.2176926
0.7258450,0.2173640
0.7412865,0.2236262
0.7962626,0.1864500
0.8291858,0.1879143
0.8625737,0.2061335
0.9153471,0.2168573
0.9559394,0.2342254
0.9942940,0.2159133
0.0139268,0.2452895
0.0589221,0.2603285
0.1172134,0.2564720
0.1111634,0.2513338
0.1655381,0.2394002
0.2073888,0.2612674
0.2495683,0.2523775
0.2901560,0.2604855
0.3356933,0.2321248
0.3530904,0.2460740
0.3779929,0.2299012
0.4358180,0.2483340
0.4682611,0.2531857
0.5111581,0.2446959
0.5734521,0.2399417
0.5890348,0.2310232
0.6280793,0.2464244
0.6638037,0.2648679
0.7302885,0.2515209
0.7627130,0.2683148
0.7696993,0.2497075
0.8187019,0.2443225
0.8797334,0.2722633
0.9142696,0.2492587
0.9372368,0.2541536
0.9884615,0.2450488
0.0196867,0.2861019
0.0655504,0.2752861
0.0719486,0.2930106
0.1147427,0.2862376
0.1753196,0.2895308
0.2089161,0.2660363
0.2432286,0.2964155
0.2926288,0.3007192
0.3275668,0.2871586
0.3440669,0.2879991
0.4134086,0.2854708
0.4249673,0.3008098
0.4801902,0.2723663
0.5446857,0.3042934
0.5490141,0.2967923
0.5947934,0.2996128
0.6221654,0.3046245
0.6882151,0.2944595
0.7078699,0.2750284
0.7579317,0.2732247
0.7992560,0.2960468
0.8464997,0.2955328
0.8735600,0.2910263
0.9077348,0.2961062
0.9246680,0.2968709
0.9959515,0.2926675
0.0213337,0.3234383
0.0573168,0.3203329
0.0688808,0.3263380
0.1518597,0.3212399
0.1909098,0.3556975
0.2331680,0.3248693
0.2531347,0.3146720
0.2723937,0.3408792
0.3421871,0.3438215
0.3804693,0.3340471
0.4136641,0.3427022
0.4294590,0.3370457
0.4774964,0.3404745
0.5141134,0.3263873
0.5615406,0.3251119
0.5975648,0.3345045
0.6168156,0.3204940
0.6812676,0.3303865
0.7188064,0.3107187
0.7357578,0.3403766
0.7848730,0.3011536
0.8441818,0.3194455
0.8694222,0.3167124
0.8958737,0.3275440
0.9469748,0.3229509
0.9691509,0.3263371
0.0292832,0.3671603
0.0681618,0.4022864
0.0920818,0.3847779
0.1152741,0.3533665
0.1741396,0.3628631
0.2361409,0.3748101
0.2273162,0.3770265
0.2944474,0.3676318
0.3321510,0.3506347
0.3344766,0.3728621
0.4107259,0.3523975
0.4380149,0.3662016
0.4764167,0.3479082
0.5072178,0.3871034
0.5644700,0.3634411
0.6152533,0.3597420
0.6423564,0.3518027
0.6722406,0.3615556
0.6884018,0.3638182
0.7538307,0.3645216
0.7891589,0.3663590
0.8350860,0.3703426
0.8731185,0.3813499
0.8990796,0.3766034
0.9581301,0.3714524
0.9620723,0.3573668
0.0213009,0.4104932
0.0492061,0.4069065
0.0942903,0.4064826
0.1340578,0.4023814
0.1629708,0.4147413
0.1983322,0.4123957
0.2660633,0.4222363
0.2799016,0.4256720
0.3285844,0.3874621
0.3652235,0.3904901
0.3937947,0.3921765
0.4647488,0.3743534
0.4853411,0.4118387
