feature1,feature2,target
183.4981631,0.4911698,73.5750951
159.6554027,-5.7440777,68.9591860
128.8863242,1.6160829,68.9382675
104.2951571,0.5105490,59.9681147
197.3654395,-4.1066819,74.8273226
159.6471704,3.0303709,84.3485936
179.0263164,-0.2999662,76.2134626
191.0339381,-1.5152448,73.2875725
168.8154448,0.8701758,75.0225483
118.9991473,-1.0719255,58.3633710
198.1478981,0.7898965,76.8254660
128.4740050,-0.7234733,62.4735298
162.9273170,-1.7965146,69.0382203
158.1036479,-2.2875123,72.0411146
159.9912273,1.6197777,69.9287715
153.5248105,0.2072078,67.2000480
199.5777104,-1.5106598,76.5278355
150.1946085,-1.1643765,67.5927212
177.1022576,-1.7614489,71.9033594
149.4161779,4.3217204,141.9516097
199.7674493,0.7686435,80.0032283
197.8621921,0.3684181,75.7758276
139.3568045,3.0572375,84.2876289
132.1925263,-1.2934074,62.6466581
186.2180651,-2.1918126,74.8454003
179.9324895,-1.0085518,69.6298381
169.1430633,0.3462629,75.3356220
140.8517852,-0.4079197,64.3747420
138.9765133,-0.6921922,63.2586907
113.1648396,0.3030638,58.9267503
162.5497488,-0.8962624,67.0190913
108.2401370,-2.2159430,55.3202339
127.4572989,1.4759274,65.2424015
165.6117027,-0.5635612,70.9323473
101.4676030,-0.6213529,57.4422280
183.4532172,0.9998287,74.7104580
107.2399078,0.8024464,58.4737548
152.4120823,-2.2942269,67.7996872
154.6550516,-1.5225455,63.6426885
122.7246963,-2.8558695,60.1514126
195.5978216,-2.4705560,77.1823396
134.0963851,0.5569390,68.0208970
150.4707441,-1.0430754,66.3308635
186.7383612,-1.9555918,70.7419515
165.6952950,-2.7363579,68.2493328
138.4722408,2.4747936,78.2674961
109.6272408,-0.9099151,61.8832321
195.5805624,0.3966028,76.1222542
158.9567134,-0.2364735,65.8477698
158.2162892,-1.9873045,68.3831414
159.7145272,0.7874423,72.0082406
114.8873933,0.1702638,61.6387197
156.0048629,2.5430296,80.9621141
156.3167520,1.1099671,75.5457197
158.0988185,-2.6052818,67.9850586
118.4948995,-0.3519675,65.9364120
170.9618912,-0.3218887,68.9866536
107.0020656,-0.2541932,60.5016662
132.4864939,-2.5983901,64.9351139
110.6855470,-3.4734258,59.3432703
174.8028694,-0.3683166,70.2930325
150.1574007,0.5907386,67.8480492
146.6308104,-2.5042502,63.2809284
107.3693372,3.6283738,94.5984994
144.2096384,1.2128519,69.0267668
122.3511077,-1.0842826,61.8395456
130.2975727,4.0118307,114.9252720
139.4348008,-3.1577732,62.6614567
170.6630649,-2.1333621,66.1274375
178.6363139,-2.2594498,72.0968234
135.6836095,2.2593354,70.7550423
167.0129851,-1.5888328,71.9592826
151.0223120,1.3818801,69.3583460
167.1145261,0.4115906,72.1894518
133.0332071,-1.2681088,62.1976323
189.8419561,0.1697128,75.0281256
166.2792010,-2.4655184,69.1483122
119.1797347,1.5913827,62.0999184
157.5158525,-2.0694125,69.6035382
174.9402881,-1.8456955,69.5265448
177.9925328,1.2860108,77.8935850
143.7731563,-1.0446924,60.3341620
127.8312685,3.6725627,99.8671722
161.6024083,2.6998351,85.0922294
172.9901339,-3.3827221,72.4868212
150.7235146,0.2422008,63.7165530
118.4607843,-0.3542029,60.4780533
161.4294148,4.2449097,138.5965987
176.0352068,-1.1683041,72.1487847
191.5014458,-1.3169614,73.6500575
199.4448832,-0.4594278,74.6071357
136.8279250,-0.4923836,64.4219385
180.5595110,-1.8746253,73.4155701
168.9536101,0.4542716,73.4847175
197.2936462,-1.1354280,75.3207294
150.8767874,-1.7662593,64.8627152
186.0641508,2.9908430,94.5042039
150.4046329,0.2423207,64.7558789
128.8252749,-2.1715457,60.3734823
196.0382614,-2.8376590,73.7060099
128.4074103,-0.7264894,62.0548239
131.0658233,-2.5560214,62.6106109
105.9781519,-2.6603318,60.4680110
100.0456274,2.1528320,64.8494345
134.1559182,-0.3557741,65.4908538
127.0694333,-1.1860184,60.8279706
172.6533939,0.3136735,69.8765475
101.4649688,-1.1881506,54.9064585
189.1572530,0.0943126,73.8100137
181.6517910,3.5730682,112.1701136
190.9649102,-0.1148814,77.9424589
176.7473892,-1.2678079,73.4874385
165.7502722,-2.3340626,69.3150542
176.3794367,1.2206523,72.2070084
187.9742339,-0.3891861,73.6038699
185.3834497,0.7633028,73.9874051
127.0479974,-3.2800786,59.8903007
195.2321918,-0.8178312,76.1888590
199.2646123,0.1469371,80.3054471
169.3667151,1.0106863,76.9881463
161.3108857,0.4703054,69.7715722
161.3434215,-0.5962397,69.3259241
168.5862121,2.5071457,82.9017366
190.6350065,-0.0968983,73.6784919
130.9312273,-4.2065713,64.9737806
140.0636617,-2.6009486,65.3906910
131.5837856,-0.1502365,63.4981464
172.1928058,0.4051294,73.3255508
103.4060863,-2.7167214,55.0911938
140.3584333,-2.4711471,63.9780751
140.4539417,0.6873167,68.9094274
139.3425671,0.4761588,67.7452205
156.8537327,0.6970537,70.0833072
124.5429999,1.3861485,62.0497123
189.1849292,0.0793363,79.9908285
137.8145822,-1.6188759,64.9745294
195.7697883,2.5137702,89.4037718
193.0403825,2.0523633,80.4777516
134.7686895,3.4314231,95.3292503
136.8786737,0.9386624,67.4544740
161.9656673,0.3117404,70.8615686
139.6906973,0.5243383,68.3853082
110.7789871,0.7185873,56.4107959
128.2013300,-3.5728812,64.3151784
118.5939836,-0.1864504,59.7475800
142.1139534,-0.5781580,64.4052036
189.0300798,0.8798498,76.3641319
146.8041220,0.7652479,68.8386123
104.6049128,-0.4898360,57.4022173
176.7767457,-0.7370306,71.4336575
186.0981512,-2.5251540,74.7278147
188.3401618,0.7019574,81.6138868
141.8488640,-0.7989085,66.6095176
129.5312103,-0.5647606,61.9777620
197.2020997,2.2978420,87.8688802
138.0022567,2.2398334,75.1769373
155.8205809,-0.4961559,66.7023701
198.0271074,3.5204252,111.9193759
185.1907287,1.5688511,75.3320010
189.1415411,0.2136217,76.2266219
191.9682126,-1.6977150,78.4477645
171.0717935,-1.6896717,68.4034735
132.6827641,1.9575658,68.9728572
118.8635215,-3.8636806,58.1259936
174.5817605,3.4848991,106.5923543
157.3057130,1.4209553,70.6257283
108.3756278,-0.6802062,57.5507839
186.5230945,3.2693143,100.5632399
109.2131549,0.4839702,61.0056434
184.4744041,-2.5197313,74.5554683
179.9633545,-1.3670551,70.5485912
197.8976864,-2.2234641,71.5165982
127.5852910,-2.4707471,63.5632756
102.6401022,3.8691902,103.7162356
151.7080595,0.1409156,69.0451987
193.3375460,-0.4389974,73.9729478
194.6775379,1.5290026,79.3716657
135.3937474,1.0790837,68.9009056
139.1728753,-1.4715466,61.2585269
196.1734001,-2.1121719,74.7521308
181.9099024,-4.0582909,69.3349533
193.8684527,1.7499148,83.0267419
180.8569598,-0.6320125,73.1085899
151.0134953,1.6845490,69.9100794
113.8169496,-0.0856425,55.9625862
152.2897867,-2.8895876,66.9407453
