x1,x2,target
0.7183760,0.5479204,-1
0.4472723,0.5812222,1
0.8640765,0.7089199,-1
0.4429471,0.7194196,1
0.1351359,0.0707670,-1
0.3112468,0.5796099,1
0.5065897,0.5814466,-1
0.1408103,0.5213853,1
0.0236844,0.5165720,1
0.2542269,0.4718211,-1
0.7324220,0.0853480,1
0.5745253,0.2835688,1
0.0814698,0.5498416,1
0.4907089,0.7703125,1
0.8121987,0.3144706,1
0.5177941,0.0890723,1
0.0340772,0.4014216,-1
0.2002591,0.3222931,-1
0.9038637,0.6917708,-1
0.5162167,0.5815835,-1
0.8048516,0.8408137,-1
0.6540625,0.1762125,1
0.1239463,0.3801865,-1
0.2689983,0.5212981,1
0.7457677,0.5658852,-1
0.0427503,0.2397107,-1
0.3307224,0.4877278,-1
0.2356374,0.5870328,1
0.9762971,0.1406495,1
0.6970321,0.8600730,-1
0.1509495,0.8129468,1
0.9828411,0.5157128,-1
0.6312662,0.9313752,-1
0.2414880,0.8095290,1
0.9488548,0.8488806,-1
0.6508858,0.6525887,-1
0.7593994,0.1712538,1
0.9547684,0.2159800,1
0.1753534,0.0570113,-1
0.7814981,0.3489437,1
0.6169098,0.1207090,1
0.1037164,0.7767927,1
0.5317745,0.5214502,-1
0.8361946,0.7450130,-1
0.6540410,0.1119634,1
0.8999261,0.9474496,-1
0.9300451,0.1108732,1
0.0189643,0.0544762,-1
0.7652441,0.0971613,1
0.7870620,0.9915617,-1
0.0273742,0.8055293,1
0.2314157,0.4798296,-1
0.8716966,0.3221024,1
0.9765714,0.7055839,-1
0.7867925,0.5169676,-1
0.0150508,0.2849832,-1
0.2203753,0.6659410,1
0.7899467,0.1294880,1
0.7346861,0.8600256,-1
0.7728851,0.8594226,-1
0.6566889,0.3201768,1
0.0893407,0.2244994,-1
0.0104247,0.8293452,1
0.8500404,0.3023508,1
0.5368277,0.4763348,1
0.3714882,0.9692804,1
0.3463936,0.3090643,-1
0.4654109,0.3768564,-1
0.3287825,0.7199582,1
0.5828963,0.0892323,1
0.1247441,0.7864180,1
0.6404335,0.3360631,1
0.9827897,0.2656316,1
0.5813915,0.5878723,-1
0.1139073,0.6295378,1
0.2305661,0.5605528,1
0.9890761,0.5204510,-1
0.0691241,0.3657120,-1
0.2610588,0.3866724,-1
0.1168749,0.1298694,-1
0.9471966,0.8467642,-1
0.7289927,0.4106348,1
0.1318235,0.5971979,1
0.6583482,0.3007660,1
0.0931846,0.9938762,1
0.5864540,0.7919274,-1
0.7765421,0.4661187,1
0.2998424,0.4927996,-1
0.2575866,0.9325228,1
0.4935495,0.4434372,-1
0.5222360,0.1384695,1
