x1,x2,y
0.4275669,0.1307719,0.2765248
0.7905659,0.1748769,0.2597646
0.4131033,0.9983525,1.2540547
0.6543605,0.6976385,0.8113548
0.8980202,0.0751260,0.1688647
0.3266873,0.6444900,1.1238574
0.1563288,0.5339634,1.3722341
0.2255996,0.0101389,0.1452110
0.1712949,0.8734526,1.4623804
0.9890711,0.4278018,0.4549737
0.7760905,0.2619117,0.3283564
0.8688498,0.2761009,0.3022385
0.6054797,0.1878728,0.1792254
0.6797677,0.8295595,0.9311287
0.6209732,0.7549684,0.6733438
0.4850176,0.6309802,0.6968497
0.2822247,0.4958446,1.2356510
0.1161745,0.6941229,1.1899913
0.1763123,0.9337896,1.4430972
0.3994707,0.5400629,0.8847762
0.8683238,0.9110383,0.8827002
0.7441722,0.5295269,0.5126206
0.2637370,0.1551636,0.4929002
0.2852582,0.4351564,1.0475875
0.0918895,0.1961619,1.0599440
0.0548521,0.2927336,1.2750153
0.5298942,0.8895923,0.8435773
0.9930905,0.3813489,0.2353500
0.0479318,0.1409348,1.0451787
0.2742189,0.9643931,1.1601168
0.7325725,0.4980615,0.5899769
0.9568880,0.6743891,0.6441912
0.8424970,0.7390437,0.7176303
0.3682774,0.6877698,1.0200936
0.7456157,0.4529562,0.4267160
0.2848615,0.1413694,0.4807230
0.6629970,0.1110094,0.4151173
0.8654597,0.9423992,0.9180973
0.2812070,0.5203069,0.9461784
0.2741991,0.4179832,0.9723904
0.4269657,0.2039566,0.4679093
0.5727319,0.8442280,1.1174070
0.8397212,0.4988511,0.5147670
0.3929696,0.4876392,0.7763392
0.5411869,0.3453897,0.5755049
0.8427289,0.5041106,0.6519221
0.1511473,0.0420641,0.1348475
0.6820077,0.1255678,0.2899993
0.6862183,0.2094589,0.0571913
0.4546658,0.5442905,0.7947595
0.0369208,0.7546783,1.5672683
0.7444776,0.1057390,0.1801408
0.0385826,0.6418811,1.6195431
0.2650637,0.7966551,1.4621938
0.5188912,0.9077370,1.1113187
